Date,FII,DII,NIFTY
2008-01-01,-461.41,306.94,6144.35
2008-01-02,-628.68,427.11,6179.4
2008-01-03,-244.56,526.65,6178.55
2008-01-04,16.01,506.85,6274.3
2008-01-05,"-1,543.44",327.64,6279.1
2008-01-06,570.65,92.08,6287.85
2008-01-07,-392.03,85.51,6272
2008-01-08,-253.34,388.73,6156.95
2008-01-09,107.4,1.92,6200.1
2008-01-10,-257.66,-193.55,6206.8
2008-01-11,-365.09,-89.74,6074.25
2008-01-12,"-2,517.59",188.97,5935.75
2008-01-13,"-2,267.40",734.75,5913.2
2008-01-14,"-2,146.92",695.56,5705.3
2008-01-15,"-3,296.73","3,399.20",5208.8
2008-01-16,"-4,265.19","2,778.71",4899.3
2008-01-17,"-3,021.54","1,291.76",5203.4
2008-01-18,"-2,254.93","1,117.03",5033.45
2008-01-19,208.48,248.35,5383.35
2008-01-20,"-1,038.45",597.94,5274.1
2008-01-21,-546.09,98.82,5280.8
2008-01-22,-911,723.11,5167.6
2008-01-23,"-3,938.00","2,160.35",5137.45
2008-01-24,-126.93,-115.4,5317.25
2008-01-25,163.74,731.83,5463.5
2008-01-26,311.78,-135.16,5483.9
2008-01-27,-485.94,357.32,5322.55
2008-01-28,-860.35,230.7,5133.25
2008-01-29,-797.25,192.98,5120.35
2008-01-30,"-1,268.67",-22.27,4857
2008-01-31,-498.06,351.16,4838.25
2008-02-01,9.4,23.59,4929.45
2008-02-02,60.99,205.03,5202
2008-02-03,261.2,138.66,5302.9
2008-02-04,-342.08,-134.16,5276.9
2008-02-05,329.25,-48.29,5280.8
2008-02-06,-266.44,256.18,5154.45
2008-02-07,209.43,-140.68,5191.8
2008-02-08,-709.54,105.49,5110.75
2008-02-09,783.86,-316.49,5200.7
2008-02-10,-31.99,511.33,5270.05
2008-02-11,350.45,341.35,5268.4
2008-02-12,-809.1,732.38,5285.1
2008-02-13,-334.87,742.79,5223.5
2008-02-14,-711.31,80.47,4953
2008-02-15,-512.33,170.23,4864.25
2008-02-16,-285.03,-131.68,4921.4
2008-02-17,513.04,-66.79,4771.6
2008-02-18,"-1,248.04",758.79,4800.4
2008-02-19,-539.24,303.36,4865.9
2008-02-20,127.94,-528.06,4872
2008-02-21,-108.5,56.44,4623.6
2008-02-22,-358,100.33,4745.8
2008-02-23,-658.22,211.48,4503.1
2008-02-24,"-1,011.05",177.33,4533
2008-02-25,30.54,142.19,4573.95
2008-02-26,376.13,-253.27,4609.85
2008-02-27,"1,246.12",399.97,4877.5
2008-02-28,393.91,-108.65,4828.85
2008-02-29,247.98,339.84,4830.25
2008-03-01,-401.95,729.5,4942
2008-03-02,-865.79,566.03,4734.5
